,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,year_of_construction,house_material_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex,unique_address,LAT_LON,underground_search,metro_address,LAT_LON_metro,metro_nearest,airport_nearest,center_distance
151,,,https://ekb.cian.ru/sale/flat/300925158/,Екатеринбург,sale,flat,15,27,1,51.65,5991400,2024,-1,18.860539438908923,9.12305732004573,78003330393,Чкаловский, Лыжников,3,Ботаническая,Большой каретный,"Екатеринбург, Лыжников,3","(56.781837641172, 60.658651586647)",Станция метро Ботаническая,"Екатеринбург,Станция метро Ботаническая","('56.797543', '60.631804')",2398.0749275789003,9841.814008099966,6630.2529042098695
152,BAZA Development,representative_developer,https://ekb.cian.ru/sale/flat/296507706/,Екатеринбург,sale,flat,21,25,1,35.29,5999300,2025,Монолитно-кирпичный,11.7,6.233353200859899,73432261631,Кировский, Владимира Высоцкого,7/3,Динамо,Квартал-парк Каменные Палатки,"Екатеринбург, Владимира Высоцкого,7/3","(56.843203432987, 60.670995275865)",Станция метро Динамо,"Екатеринбург,Станция метро Динамо","('56.847786', '60.6015868')",4266.199303472674,13645.565063518712,3730.701939086898
153,АТОМ,developer,https://ekb.cian.ru/sale/flat/300007240/,Екатеринбург,sale,flat,11,16,1,47.08,5950000,2025,-1,17.191755988070323,8.315847795309834,73432261680,Чкаловский, Южногорская,1,Ботаническая,Северный Химмаш,"Екатеринбург, Южногорская,1","(56.76728750419, 60.706467996116)",Станция метро Ботаническая,"Екатеринбург,Станция метро Ботаническая","('56.797543', '60.631804')",5672.794741761856,6515.468363645732,9555.181538317913
154,Союз,developer,https://ekb.cian.ru/sale/flat/298818495/,Екатеринбург,sale,flat,4,21,1,43.15,6022050,2025,-1,15.756675252447629,7.621682930493189,73432261738,, Краснолесья,96/2,Чкаловская,Академ-Центр,"Екатеринбург, Краснолесья,96/2","(56.780237260183, 60.547732660066)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",4849.170398847069,16217.25543283799,7281.106652746792
155,Проспект Групп,developer,https://ekb.cian.ru/sale/flat/297301791/,Екатеринбург,sale,flat,3,17,1,42.73,6029100,2025,Монолитно-кирпичный,15.603307845587189,7.547497372421181,73432260878,Кировский, Владимира Высоцкого,7/4,Динамо,Гранит,"Екатеринбург, Владимира Высоцкого,7/4","(56.843203432987, 60.670995275865)",Станция метро Динамо,"Екатеринбург,Станция метро Динамо","('56.847786', '60.6015868')",4266.199303472674,13645.565063518712,3730.701939086898
156,Проспект Групп,developer,https://ekb.cian.ru/sale/flat/300551468/,Екатеринбург,sale,flat,8,17,1,42.21,6072774,2025,Монолитно-кирпичный,15.413424389474264,7.455648586236791,73432260878,Кировский, Владимира Высоцкого,7/4,Динамо,Гранит,"Екатеринбург, Владимира Высоцкого,7/4","(56.843203432987, 60.670995275865)",Станция метро Динамо,"Екатеринбург,Станция метро Динамо","('56.847786', '60.6015868')",4266.199303472674,13645.565063518712,3730.701939086898
157,Стройтэк,developer,https://ekb.cian.ru/sale/flat/297265135/,Екатеринбург,sale,flat,1,21,1,39.41,6050000,2023,-1,11.3,15.4,73432261765,Верх-Исетский, Крауля,170А,Площадь 1905 года,Янтарная Долина,"Екатеринбург, Крауля,170А","(56.83384124918, 60.523192048089)",Станция метро Площадь 1905 года,"Екатеринбург,Станция метро Площадь 1905 года","('56.8360065', '60.599696')",4676.098745928063,19855.63214665116,5394.715761805377
158,ПИК,developer,https://ekb.cian.ru/sale/flat/285061650/,Екатеринбург,sale,flat,2,24,1,41.7,6168055,2025,Монолитно-кирпичный,12.9,16.8,73432261718,Октябрьский,Южный жилрайон,6,Ботаническая,Исеть Парк ЖК,"Екатеринбург,Южный жилрайон,6","(56.8014902, 60.6115752)",Станция метро Ботаническая,"Екатеринбург,Станция метро Ботаническая","('56.797543', '60.631804')",1311.7835827602405,13389.857889648123,3784.1491763253066
159,Группа Эталон,developer,https://ekb.cian.ru/sale/flat/300487374/,Екатеринбург,sale,flat,9,16,1,39.87,6165267,2024,Монолитно-кирпичный,13.1,16.2,73432260972,Чкаловский,бульвар Золотистый,15,Ботаническая,Жилой район Солнечный,"Екатеринбург,бульвар Золотистый,15","(56.74691479138, 60.566517104086)",Станция метро Ботаническая,"Екатеринбург,Станция метро Ботаническая","('56.797543', '60.631804')",6907.886433209786,14600.678465574663,10237.754275382398
160,PRINZIP,developer,https://ekb.cian.ru/sale/flat/296638196/,Екатеринбург,sale,flat,11,12,1,41.3,6195000,2024,"Монолитно-кирпичный, монолитный",15.08112834127664,7.294913210414107,73432261787,Ленинский, Краснолесья,10/5,Чкаловская,Ньютон Парк,"Екатеринбург, Краснолесья,10/5","(56.778327686143, 60.549267092975)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",4913.395875335615,16076.49112966208,7413.140718492308
161,Центр Девелопмент,developer,https://ekb.cian.ru/sale/flat/297102576/,Екатеринбург,sale,flat,9,22,1,39.82,6156000,2024,-1,12.5,16.0,73432261732,, Академика Ландау,32,Чкаловская,Пушкин,"Екатеринбург, Академика Ландау,32","(56.7948392, 60.5174046)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",5816.203934121441,18440.061739575536,7315.199993146665
162,ПИК,developer,https://ekb.cian.ru/sale/flat/297224192/,Екатеринбург,sale,flat,1,24,1,43.2,6250392,2024,Монолитно-кирпичный,17.1,15.5,73432261718,Октябрьский,Южный жилрайон,4,Ботаническая,Исеть Парк ЖК,"Екатеринбург,Южный жилрайон,4","(56.8014902, 60.6115752)",Станция метро Ботаническая,"Екатеринбург,Станция метро Ботаническая","('56.797543', '60.631804')",1311.7835827602405,13389.857889648123,3784.1491763253066
163,ПИК,developer,https://ekb.cian.ru/sale/flat/300130661/,Екатеринбург,sale,flat,20,24,1,33.7,6210910,2023,Монолитно-кирпичный,11.4,10.7,73432261718,Октябрьский, Хуторская,1/3,Ботаническая,Исеть парк,"Екатеринбург, Хуторская,1/3","(56.801867560744, 60.641317032571)",Станция метро Ботаническая,"Екатеринбург,Станция метро Ботаническая","('56.797543', '60.631804')",754.8080490610264,11835.680214962376,4161.080105632676
164,,,https://ekb.cian.ru/sale/flat/300876704/,Екатеринбург,sale,flat,24,25,1,38.8,6324400,2024,-1,14.168227109964496,6.853332507604536,78003330393,Верх-Исетский, Отрадная,с1,Геологическая,Квартал ,"Екатеринбург, Отрадная,с1","(56.824295225652, 60.524886800818)",Станция метро Геологическая,"Екатеринбург,Станция метро Геологическая","('56.8264026', '60.6036815')",4816.655160390968,19259.14053019841,5433.361923171765
165,Астон,developer,https://ekb.cian.ru/sale/flat/298269815/,Екатеринбург,sale,flat,22,32,1,36.47,6300000,2024,-1,12.6,13.9,73432267491,Верх-Исетский, Репина,111,Геологическая,Астон. Отрадный,"Екатеринбург, Репина,111","(56.820067250246, 60.537769112034)",Станция метро Геологическая,"Екатеринбург,Станция метро Геологическая","('56.8264026', '60.6036815')",4085.977045727421,18344.519157356328,4818.397795307907
166,РСГ-Академическое,developer,https://ekb.cian.ru/sale/flat/299148657/,Екатеринбург,sale,flat,24,31,1,40.3,6343889,2023,Монолитно-кирпичный,14.715967848751784,7.118280929290278,74951378828,, Академика Парина,35/2,Чкаловская,Олимпика,"Екатеринбург, Академика Парина,35/2","(56.79058113944, 60.499879562316)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",6972.663902387094,19336.896220075025,8454.753190088024
167,САММЕТ,representative_developer,https://ekb.cian.ru/sale/flat/280947948/,Екатеринбург,sale,flat,10,17,1,43.5,6307500,2024,"Монолитно-кирпичный, монолитный",15.88448142483133,7.683504228886529,73432261792,Ленинский, Краснолесья,10/5,Чкаловская,Ньютон Парк,"Екатеринбург, Краснолесья,10/5","(56.778327686143, 60.549267092975)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",4913.395875335615,16076.49112966208,7413.140718492308
168,Стройтэк,developer,https://ekb.cian.ru/sale/flat/297265254/,Екатеринбург,sale,flat,1,21,1,45.45,6460000,2023,-1,15.8,14.4,73432261765,Верх-Исетский, Крауля,170А,Площадь 1905 года,Янтарная Долина,"Екатеринбург, Крауля,170А","(56.83384124918, 60.523192048089)",Станция метро Площадь 1905 года,"Екатеринбург,Станция метро Площадь 1905 года","('56.8360065', '60.599696')",4676.098745928063,19855.63214665116,5394.715761805377
169,Самолет Плюс Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/296322524/,Екатеринбург,sale,flat,14,28,1,41.1,6400000,2023,-1,12.0,18.0,79122515743,Кировский, Владимира Высоцкого,5,Площадь 1905 года,Квартал-парк Каменные Палатки,"Екатеринбург, Владимира Высоцкого,5","(56.842942101342, 60.675360169576)",Станция метро Площадь 1905 года,"Екатеринбург,Станция метро Площадь 1905 года","('56.8360065', '60.599696')",4682.193877997997,13463.524987091909,3984.2277343603137
170,ПИК,developer,https://ekb.cian.ru/sale/flat/282173171/,Екатеринбург,sale,flat,2,24,1,41.1,6454138,2024,Монолитно-кирпичный,12.9,17.1,73432261718,Октябрьский,Южный жилрайон,4,Ботаническая,Исеть Парк ЖК,"Екатеринбург,Южный жилрайон,4","(56.8014902, 60.6115752)",Станция метро Ботаническая,"Екатеринбург,Станция метро Ботаническая","('56.797543', '60.631804')",1311.7835827602405,13389.857889648123,3784.1491763253066
171,САММЕТ,representative_developer,https://ekb.cian.ru/sale/flat/299589620/,Екатеринбург,sale,flat,3,32,1,49.0,6440000,2026,-1,13.1,15.6,73432261781,, Академика Парина,12/6,Чкаловская,First,"Екатеринбург, Академика Парина,12/6","(56.786296875278, 60.502733297143)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",6951.241255343114,19049.40135827113,8610.38477658925
172,BAZA Development,representative_developer,https://ekb.cian.ru/sale/flat/291650164/,Екатеринбург,sale,flat,1,25,1,46.54,6608680,2025,Монолитно-кирпичный,12.2,8.220466363502966,73432261631,Кировский, Владимира Высоцкого,7/3,Динамо,Квартал-парк Каменные Палатки,"Екатеринбург, Владимира Высоцкого,7/3","(56.843203432987, 60.670995275865)",Станция метро Динамо,"Екатеринбург,Станция метро Динамо","('56.847786', '60.6015868')",4266.199303472674,13645.565063518712,3730.701939086898
173,АТОМ,developer,https://ekb.cian.ru/sale/flat/299376807/,Екатеринбург,sale,flat,15,26,1,50.9,6600000,2024,Монолитно-кирпичный,18.58666906951528,8.990583109202857,73432261772,Чкаловский, Щербакова,148/2,Ботаническая,River Park,"Екатеринбург, Щербакова,148/2","(56.767398222689, 60.678998629585)",Станция метро Ботаническая,"Екатеринбург,Станция метро Ботаническая","('56.797543', '60.631804')",4426.102000800595,8100.349754574592,8629.026649386315
174,Столица,real_estate_agent,https://ekb.cian.ru/sale/flat/297158976/,Екатеринбург,sale,flat,6,17,1,44.3,6600000,2018,-1,17.0,12.0,79126516618,Верх-Исетский, Крауля,168Б,Геологическая,Янтарная Долина,"Екатеринбург, Крауля,168Б","(56.834074215421, 60.525252688921)",Станция метро Геологическая,"Екатеринбург,Станция метро Геологическая","('56.8264026', '60.6036815')",4863.5867252459775,19759.37657723246,5268.157435019886
175,Группа Эталон,developer,https://ekb.cian.ru/sale/flat/300487382/,Екатеринбург,sale,flat,9,16,1,39.01,6622956,2024,Монолитно-кирпичный,12.0,16.2,73432260972,Чкаловский,бульвар Золотистый,15,Ботаническая,Жилой район Солнечный,"Екатеринбург,бульвар Золотистый,15","(56.74691479138, 60.566517104086)",Станция метро Ботаническая,"Екатеринбург,Станция метро Ботаническая","('56.797543', '60.631804')",6907.886433209786,14600.678465574663,10237.754275382398
176,,,https://ekb.cian.ru/sale/flat/297940350/,Екатеринбург,sale,flat,11,20,1,47.5,6644260,2022,-1,17.345123394930763,8.390033353381842,78003330393,Кировский, Блюхера,93,Машиностроителей,Уральский,"Екатеринбург, Блюхера,93","(56.86541179463, 60.668095401772)",Станция метро Машиностроителей,"Екатеринбург,Станция метро Машиностроителей","('56.8784313', '60.612468')",3689.0411463503065,15785.202772846049,4799.1252270047935
177,Группа Эталон,developer,https://ekb.cian.ru/sale/flat/300487356/,Екатеринбург,sale,flat,9,16,1,38.15,6757521,2024,Монолитно-кирпичный,10.9,16.9,73432260972,Чкаловский,бульвар Золотистый,13,Ботаническая,Жилой район Солнечный,"Екатеринбург,бульвар Золотистый,13","(56.74691479138, 60.566517104086)",Станция метро Ботаническая,"Екатеринбург,Станция метро Ботаническая","('56.797543', '60.631804')",6907.886433209786,14600.678465574663,10237.754275382398
178,Стройтэк,developer,https://ekb.cian.ru/sale/flat/297265033/,Екатеринбург,sale,flat,10,23,1,42.1,6760000,2022,-1,16.7,12.7,73432261765,Верх-Исетский, Крауля,170,Площадь 1905 года,Янтарная Долина,"Екатеринбург, Крауля,170","(56.833682319538, 60.523153273632)",Станция метро Площадь 1905 года,"Екатеринбург,Станция метро Площадь 1905 года","('56.8360065', '60.599696')",4679.417793414115,19848.932264164952,5397.717308574253
179,Брусника - Екатеринбург,developer,https://ekb.cian.ru/sale/flat/291059946/,Екатеринбург,sale,flat,9,9,1,50.2,6800000,2023,Монолитно-кирпичный,10.5,22.0,73432261628,Железнодорожный, Пехотинцев,2В,Уральская,Квартал Депо,"Екатеринбург, Пехотинцев,2В","(56.870816091138, 60.547864336283)",Станция метро Уральская,"Екатеринбург,Станция метро Уральская","('56.8578879', '60.6011489')",3554.5801596025544,21036.199930665447,5529.330472401208
180,Страна Девелопмент,developer,https://ekb.cian.ru/sale/flat/295190247/,Екатеринбург,sale,flat,12,24,1,44.12,6890000,2025,Монолитный,11.8,16.7,73432261728,Орджоникидзевский, Шефская,22А,Проспект Космонавтов,Страна.Энтузиастов,"Екатеринбург, Шефская,22А","(56.894954283207, 60.63504170656)",Станция метро Проспект Космонавтов,"Екатеринбург,Станция метро Проспект Космонавтов","('56.9023365', '60.6127772')",1586.3601331793177,19642.96769259769,6777.330083785962
181,Астон,developer,https://ekb.cian.ru/sale/flat/296806087/,Екатеринбург,sale,flat,6,32,1,43.59,6900000,2024,-1,11.8,17.4,73432267491,Верх-Исетский, Репина,111,Геологическая,Астон. Отрадный,"Екатеринбург, Репина,111","(56.820067250246, 60.537769112034)",Станция метро Геологическая,"Екатеринбург,Станция метро Геологическая","('56.8264026', '60.6036815')",4085.977045727421,18344.519157356328,4818.397795307907
182,Стройтэк,developer,https://ekb.cian.ru/sale/flat/278947251/,Екатеринбург,sale,flat,1,33,1,42.36,6980000,2024,"Монолитно-кирпичный, монолитный",12.9,14.8,73432261741,Кировский, Раевского,18/4,Уральская,Современник,"Екатеринбург, Раевского,18/4","(56.861011430406, 60.659906198079)",Станция метро Уральская,"Екатеринбург,Станция метро Уральская","('56.8578879', '60.6011489')",3601.0974619522485,15650.320739771198,4099.428605031166
183,,,https://ekb.cian.ru/sale/flat/297940453/,Екатеринбург,sale,flat,15,24,1,47.2,6993201,2022,-1,17.235575247173305,8.337043669044695,78003330393,Кировский, Блюхера,93,Машиностроителей,Уральский,"Екатеринбург, Блюхера,93","(56.86541179463, 60.668095401772)",Станция метро Машиностроителей,"Екатеринбург,Станция метро Машиностроителей","('56.8784313', '60.612468')",3689.0411463503065,15785.202772846049,4799.1252270047935
184,BAZA Development,representative_developer,https://ekb.cian.ru/sale/flat/295714230/,Екатеринбург,sale,flat,16,25,1,42.0,6972000,2025,Монолитно-кирпичный,15.336740686044042,7.418555807200787,73432261715,Кировский, Студенческая,1Нк4,Уральская,Тёплые кварталы,"Екатеринбург, Студенческая,1Нк4","(56.856739300702, 60.661076316918)",Станция метро Уральская,"Екатеринбург,Станция метро Уральская","('56.8578879', '60.6011489')",3658.083470440006,15219.63917420097,3841.024932007816
185,Стройтэк,developer,https://ekb.cian.ru/sale/flat/285441474/,Екатеринбург,sale,flat,1,19,1,40.9,7034759,2023,Монолитно-кирпичный,13.4,14.0,73432261693,Орджоникидзевский,проспект Космонавтов,26А,Машиностроителей,Атмосфера,"Екатеринбург,проспект Космонавтов,26А","(56.879591805339, 60.61611017241)",Станция метро Машиностроителей,"Екатеринбург,Станция метро Машиностроителей","('56.8784313', '60.612468')",256.92723276489426,18897.983105281,4920.98795105948
186,Астон,developer,https://ekb.cian.ru/sale/flat/298269834/,Екатеринбург,sale,flat,7,32,1,42.84,7020000,2024,-1,11.8,17.2,73432267491,Верх-Исетский, Репина,111,Геологическая,Астон. Отрадный,"Екатеринбург, Репина,111","(56.820067250246, 60.537769112034)",Станция метро Геологическая,"Екатеринбург,Станция метро Геологическая","('56.8264026', '60.6036815')",4085.977045727421,18344.519157356328,4818.397795307907
187,BAZA Development,representative_developer,https://ekb.cian.ru/sale/flat/295387064/,Екатеринбург,sale,flat,20,31,1,42.94,7014249,2025,Монолитно-кирпичный,15.679991549017409,7.584590151457185,73432261631,Кировский, Владимира Высоцкого,7/2,Динамо,Квартал-парк Каменные Палатки,"Екатеринбург, Владимира Высоцкого,7/2","(56.843203432987, 60.670995275865)",Станция метро Динамо,"Екатеринбург,Станция метро Динамо","('56.847786', '60.6015868')",4266.199303472674,13645.565063518712,3730.701939086898
188,BAZA Development,representative_developer,https://ekb.cian.ru/sale/flat/291864549/,Екатеринбург,sale,flat,25,25,1,44.17,7067200,2025,Монолитно-кирпичный,14.5,7.801847857239494,73432261631,Кировский, Владимира Высоцкого,7/3,Динамо,Квартал-парк Каменные Палатки,"Екатеринбург, Владимира Высоцкого,7/3","(56.843203432987, 60.670995275865)",Станция метро Динамо,"Екатеринбург,Станция метро Динамо","('56.847786', '60.6015868')",4266.199303472674,13645.565063518712,3730.701939086898
189,BAZA Development,representative_developer,https://ekb.cian.ru/sale/flat/291650327/,Екатеринбург,sale,flat,2,25,1,47.91,7090680,2025,Монолитно-кирпичный,26.4,8.462452588642611,73432261631,Кировский, Владимира Высоцкого,7/3,Динамо,Квартал-парк Каменные Палатки,"Екатеринбург, Владимира Высоцкого,7/3","(56.843203432987, 60.670995275865)",Станция метро Динамо,"Екатеринбург,Станция метро Динамо","('56.847786', '60.6015868')",4266.199303472674,13645.565063518712,3730.701939086898
190,АТОМ,developer,https://ekb.cian.ru/sale/flat/295933462/,Екатеринбург,sale,flat,1,26,1,59.4,7100000,2023,Монолитно-кирпичный,21.690533255976572,10.4919574987554,73432261772,Чкаловский, Щербакова,148,Ботаническая,River Park,"Екатеринбург, Щербакова,148","(56.767398222689, 60.678998629585)",Станция метро Ботаническая,"Екатеринбург,Станция метро Ботаническая","('56.797543', '60.631804')",4426.102000800595,8100.349754574592,8629.026649386315
191,Стройтэк,developer,https://ekb.cian.ru/sale/flat/297265032/,Екатеринбург,sale,flat,19,23,1,49.7,7320000,2022,-1,16.5,20.4,73432261765,Верх-Исетский, Крауля,170,Площадь 1905 года,Янтарная Долина,"Екатеринбург, Крауля,170","(56.833682319538, 60.523153273632)",Станция метро Площадь 1905 года,"Екатеринбург,Станция метро Площадь 1905 года","('56.8360065', '60.599696')",4679.417793414115,19848.932264164952,5397.717308574253
192,ПИК,developer,https://ekb.cian.ru/sale/flat/294724149/,Екатеринбург,sale,flat,7,16,1,45.4,7446825,2025,Монолитно-кирпичный,13.4,21.2,73432261629,Железнодорожный,,4.2,Уральская,Космонавтов 11 ЖК,"Екатеринбург,,4.2","(56.836649890447, 60.327503560263)",Станция метро Уральская,"Екатеринбург,Станция метро Уральская","('56.8578879', '60.6011489')",16864.72957642484,30912.95540329814,17336.599605425487
193,Стройтэк,developer,https://ekb.cian.ru/sale/flat/292440897/,Екатеринбург,sale,flat,13,19,1,42.56,7362837,2023,Монолитно-кирпичный,15.7,16.3,73432261693,Орджоникидзевский,проспект Космонавтов,26А,Машиностроителей,Атмосфера,"Екатеринбург,проспект Космонавтов,26А","(56.879591805339, 60.61611017241)",Станция метро Машиностроителей,"Екатеринбург,Станция метро Машиностроителей","('56.8784313', '60.612468')",256.92723276489426,18897.983105281,4920.98795105948
194,Группа Эталон,developer,https://ekb.cian.ru/sale/flat/300117847/,Екатеринбург,sale,flat,16,16,1,43.25,7442103,2024,Монолитно-кирпичный,11.3,19.8,73432260972,Чкаловский,бульвар Золотистый,13,Ботаническая,Жилой район Солнечный,"Екатеринбург,бульвар Золотистый,13","(56.74691479138, 60.566517104086)",Станция метро Ботаническая,"Екатеринбург,Станция метро Ботаническая","('56.797543', '60.631804')",6907.886433209786,14600.678465574663,10237.754275382398
195,BAZA Development,representative_developer,https://ekb.cian.ru/sale/flat/295387020/,Екатеринбург,sale,flat,12,31,1,44.45,7424928,2025,Монолитно-кирпичный,16.231383892729948,7.851304895954167,73432261631,Кировский, Владимира Высоцкого,7/2,Динамо,Квартал-парк Каменные Палатки,"Екатеринбург, Владимира Высоцкого,7/2","(56.843203432987, 60.670995275865)",Станция метро Динамо,"Екатеринбург,Станция метро Динамо","('56.847786', '60.6015868')",4266.199303472674,13645.565063518712,3730.701939086898
196,Синара–Девелопмент,developer,https://ekb.cian.ru/sale/flat/299473097/,Екатеринбург,sale,flat,17,25,1,35.11,7599000,2023,Монолитно-кирпичный,10.6,14.6,73432261704,Чкаловский, 8 Марта,204Г,Чкаловская,Botanika Green House,"Екатеринбург, 8 Марта,204Г","(56.796493491529, 60.607971595883)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",1214.1040941933657,13338.255844935797,4345.968369136032
197,Ориентир. Недвижимость,real_estate_agent,https://ekb.cian.ru/sale/flat/300885047/,Екатеринбург,sale,flat,7,16,1,32.0,7500000,2017,-1,9.0,18.0,79826415563,Центр, Шейнкмана,86А,Геологическая,,"Екатеринбург, Шейнкмана,86А","(56.82827330978, 60.587147008901)",Станция метро Геологическая,"Екатеринбург,Станция метро Геологическая","('56.8264026', '60.6036815')",1030.755938985324,16217.433383549684,1690.094622364067
198,Progress,developer,https://ekb.cian.ru/sale/flat/296205016/,Екатеринбург,sale,flat,1,24,1,34.61,7750000,2026,Монолитно-кирпичный,12.63820464628534,6.113243249695696,73432261008,Верх-Исетский,переулок Встречный,4/1,Геологическая,PROGRESS Встречный,"Екатеринбург,переулок Встречный,4/1","(56.822529987815, 60.563950008044)",Станция метро Геологическая,"Екатеринбург,Станция метро Геологическая","('56.8264026', '60.6036815')",2463.9577018856394,17070.652113915065,3242.12105606912
199,Progress,developer,https://ekb.cian.ru/sale/flat/296205017/,Екатеринбург,sale,flat,1,24,1,34.48,7750000,2026,Монолитно-кирпичный,12.590733782257107,6.090281053149598,73432261008,Верх-Исетский,переулок Встречный,4/1,Геологическая,PROGRESS Встречный,"Екатеринбург,переулок Встречный,4/1","(56.822529987815, 60.563950008044)",Станция метро Геологическая,"Екатеринбург,Станция метро Геологическая","('56.8264026', '60.6036815')",2463.9577018856394,17070.652113915065,3242.12105606912
200,,,https://ekb.cian.ru/sale/flat/297940391/,Екатеринбург,sale,flat,20,20,1,54.0,7829339,2022,-1,19.71866659634234,9.538143180686726,78003330393,Кировский, Блюхера,93,Машиностроителей,Уральский,"Екатеринбург, Блюхера,93","(56.86541179463, 60.668095401772)",Станция метро Машиностроителей,"Екатеринбург,Станция метро Машиностроителей","('56.8784313', '60.612468')",3689.0411463503065,15785.202772846049,4799.1252270047935
201,Гринвич,developer,https://ekb.cian.ru/sale/flat/294894933/,Екатеринбург,sale,flat,11,31,1,48.52,7829915,2025,Монолитно-кирпичный,17.71758709730612,8.570198280128148,73432261791,Кировский, Владимира Высоцкого,7/2,Динамо,Квартал-парк Каменные Палатки,"Екатеринбург, Владимира Высоцкого,7/2","(56.843203432987, 60.670995275865)",Станция метро Динамо,"Екатеринбург,Станция метро Динамо","('56.847786', '60.6015868')",4266.199303472674,13645.565063518712,3730.701939086898
202,BAZA Development,representative_developer,https://ekb.cian.ru/sale/flat/295387015/,Екатеринбург,sale,flat,10,31,1,48.54,7808144,2025,Монолитно-кирпичный,17.724890307156613,8.573730925750624,73432261631,Кировский, Владимира Высоцкого,7/2,Динамо,Квартал-парк Каменные Палатки,"Екатеринбург, Владимира Высоцкого,7/2","(56.843203432987, 60.670995275865)",Станция метро Динамо,"Екатеринбург,Станция метро Динамо","('56.847786', '60.6015868')",4266.199303472674,13645.565063518712,3730.701939086898
203,Progress,developer,https://ekb.cian.ru/sale/flat/296204377/,Екатеринбург,sale,flat,4,24,1,45.76,7890000,2025,Монолитно-кирпичный,16.70974413793751,24.0,73432261768,, Академика Ландау,3,Чкаловская,Amundsen,"Екатеринбург, Академика Ландау,3","(56.7948392, 60.5174046)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",5816.203934121441,18440.061739575536,7315.199993146665
204,Синара–Девелопмент,developer,https://ekb.cian.ru/sale/flat/299552906/,Екатеринбург,sale,flat,1,25,1,38.8,7885000,2023,Монолитно-кирпичный,12.1,15.9,73432261704,Чкаловский, 8 Марта,204Г,Чкаловская,Botanika Green House,"Екатеринбург, 8 Марта,204Г","(56.796493491529, 60.607971595883)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",1214.1040941933657,13338.255844935797,4345.968369136032
205,Гринвич,representative_developer,https://ekb.cian.ru/sale/flat/297574588/,Екатеринбург,sale,flat,5,16,1,39.6,8094240,2024,"Монолитно-кирпичный, монолитный",14.460355503984385,6.994638332503599,73432261883,Ленинский, Шаумяна,28,Чкаловская,Южные кварталы,"Екатеринбург, Шаумяна,28","(56.808477308046, 60.587566858431)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",1365.8431409571658,15050.116994835624,3343.0264351801543
206,Этажи Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/301001695/,Екатеринбург,sale,flat,17,20,1,38.2,8100000,2022,-1,13.949130814449584,15.2,79126703816,Октябрьский, Онежская,4,Ботаническая,4YOU,"Екатеринбург, Онежская,4","(56.799883840713, 60.637890905921)",Станция метро Ботаническая,"Екатеринбург,Станция метро Ботаническая","('56.797543', '60.631804')",454.1630013805152,11899.213390031411,4277.749314814635
207,Синара–Девелопмент,developer,https://ekb.cian.ru/sale/flat/299473286/,Екатеринбург,sale,flat,18,25,1,36.92,8087000,2023,Монолитно-кирпичный,11.3,14.8,73432261704,Чкаловский, 8 Марта,204Г,Чкаловская,Botanika Green House,"Екатеринбург, 8 Марта,204Г","(56.796493491529, 60.607971595883)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",1214.1040941933657,13338.255844935797,4345.968369136032
208,Гринвич,representative_developer,https://ekb.cian.ru/sale/flat/297574585/,Екатеринбург,sale,flat,4,16,1,40.5,8237700,2024,"Монолитно-кирпичный, монолитный",14.788999947256755,7.153607385515044,73432261883,Ленинский, Шаумяна,28,Чкаловская,Южные кварталы,"Екатеринбург, Шаумяна,28","(56.808477308046, 60.587566858431)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",1365.8431409571658,15050.116994835624,3343.0264351801543
209,САММЕТ,representative_developer,https://ekb.cian.ru/sale/flat/296031655/,Екатеринбург,sale,flat,16,25,1,42.88,8200000,2023,-1,13.4,17.6,73432261734,, Краснолесья,96,Чкаловская,Академ-Центр,"Екатеринбург, Краснолесья,96","(56.788699729683, 60.529761361808)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",5314.873884227432,17520.887420257288,7215.574878450274
